matchup,book,market,team_or_player,odds,implied_prob,projection,book_weight,edge,result
Tampa Bay Rays @ Boston Red Sox,Bovada,spreads,Boston Red Sox -1.5,2.8,0.357142857,0.55,1,0.192857143,
New York Mets @ Baltimore Orioles,DraftKings,spreads,New York Mets -1.5,2.49,0.401606426,0.55,1.15,0.17065261,
Washington Nationals @ St. Louis Cardinals,BetMGM,spreads,St. Louis Cardinals -1.5,2.5,0.4,0.55,1.12,0.168,
Miami Marlins @ Cincinnati Reds,DraftKings,h2h,Miami Marlins,2.43,0.411522634,0.55,1.15,0.159248971,
Arizona Diamondbacks @ San Diego Padres,MyBookie.ag,spreads,Arizona Diamondbacks -1.5,2.51,0.398406375,0.55,1,0.151593625,
Texas Rangers @ Los Angeles Angels,BetMGM,spreads,Texas Rangers -1.5,2.4,0.416666667,0.55,1.12,0.149333333,
Seattle Mariners @ New York Yankees,LowVig.ag,spreads,Seattle Mariners -1.5,2.49,0.401606426,0.55,1,0.148393574,
Chicago Cubs @ Minnesota Twins,DraftKings,spreads,Chicago Cubs -1.5,2.36,0.423728814,0.55,1.15,0.145211864,
Atlanta Braves @ Oakland Athletics,FanDuel,h2h,Oakland Athletics,2.34,0.427350427,0.55,1.05,0.128782051,
Cleveland Guardians @ Chicago White Sox,DraftKings,spreads,Cleveland Guardians -1.5,2.28,0.438596491,0.55,1.15,0.128114035,
Miami Marlins @ Cincinnati Reds,BetMGM,spreads,Cincinnati Reds -1.5,2.25,0.444444444,0.55,1.12,0.118222222,
Washington Nationals @ St. Louis Cardinals,BetUS,h2h,Washington Nationals,2.26,0.442477876,0.55,1,0.107522124,
New York Mets @ Baltimore Orioles,LowVig.ag,h2h,Baltimore Orioles,2.34,0.4274,0.55,1,0.1226,
